Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 QC7 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC blank
222.14679/3.58 5213973.23879323 5667155.53512564 9944705.91950417 8164527.79512495 8812858.9596441 7282374.53665017 5868115.54220758 7197449.63296804 11544618.7095109 4148984.16393423 7476850.44841132 3791136.80948492 7021376.79474727 5659145.07937121 5817599.56225642 7036543.25753627 3503179.12120293 3825720.431935 8263463.57063859 8771167.15842688 4764588.63169526 8116594.62752903 3441458.59149454 15611595.8160846 5735641.43708126 8177699.53983503 4119606.98275466 6158092.75326115 6124884.18859718 6169102.71828095 6287814.14852289 6277625.30292732 6150823.31568789 6084153.23999808 73937.4181682569
397.31932/12.798 4997855.78536725 2621343.17416485 1471943.60580515 2976481.62465993 11204085.705515 2797091.35072775 2927055.86298623 2453063.9413954 838854.01728299 4011199.1093901 1826695.66307456 2320264.65822057 3526956.70371054 910382.177941649 2675519.57777323 881038.839027663 1173570.63481907 3007800.07102996 2348433.43698475 15218516.1617406 2488217.21607661 2526718.41141806 1877116.81782155 3068822.47330873 2313308.47035065 5847319.17999726 3452970.98613692 3268220.06743863 3361579.25511937 3373368.07976973 3115208.81854324 3465357.6149695 3504205.3973729 3090761.77261651 13660.4648398699
199.06118/1.045 4237532.75718558 5140841.17687508 10334998.3750786 6636816.25444581 3760415.34894129 6674225.90698421 3391042.3158956 10675058.2186266 12475057.8649863 7189204.79618774 5139028.8713611 1912262.40018693 9364830.28347349 4453056.99261068 2914556.76954628 7686905.71619436 6805727.97477065 6628935.65194018 7148709.22675934 14182328.0532652 3393855.65249607 4133382.38079539 2883761.33690832 15720016.3644041 5478318.01581237 4336905.04458745 4304079.27184203 6356440.11395427 6347803.6711847 6960710.30185429 6625399.3009496 7548838.09914606 3421819.17525095 8717631.81231762 6784.51582558957
183.06605/12.298 6177424.24693076 7435582.27930546 5561763.15393289 6395601.91435029 5119038.29402087 6361228.56433885 4688849.09822682 5082143.01648603 3786470.72651871 3981691.92869609 7209419.70036703 5886331.2233757 8310522.95499381 6301518.42915339 6175499.94029712 5458553.91947538 4954455.0598614 4368908.08624631 4057374.17473745 6590338.01436333 6179780.07399432 4572383.99070931 4265294.744801 7155267.50025042 4279152.53776553 6860845.21492545 4004047.53838366 5864690.5556545 6037674.88792879 6130773.80944694 6259399.64644705 5814378.97412706 6021727.16658734 6037592.35580126 12152.1918243802
399.335/13.776 8324340.36041601 7031411.89268598 7608165.00995466 5662881.6195939 7771604.23169998 5492088.73925142 6714131.18054731 8583095.3347484 3398218.33386715 10509084.0727093 4427702.75207365 6306046.07661598 8307644.07454643 3920332.59874123 6264752.54998605 3977497.26244555 4664475.68511386 9676533.2265987 4704319.51862813 12278605.4025409 5713840.45184476 4910852.92959393 5313170.05667977 7163167.74496781 4028016.1430242 8231650.86877287 10152505.7653846 7615547.12099962 7528013.43468453 7551288.31909918 7421203.47001876 7245702.62246408 7785611.30813284 7505175.01084359 15917.640916804
404.14329/1.561 2870956.90117165 4149211.6777238 5933719.00609246 7044730.45233667 5063401.12329088 6886613.87444345 3660211.69366485 4261550.15338358 7087091.02855748 3676087.98745829 4890161.3931905 3830468.84431367 5172155.87485492 4449938.87959969 5515207.93297883 5240763.30719572 4434045.25121955 1929446.3412713 5174481.88131308 12235471.4303094 2611438.07848887 4487336.88881577 3226805.09079 11653294.3864789 6424492.09124348 5649594.30225332 4357632.6146209 4711137.80676793 4712691.85108863 4243020.92870872 4505747.33034712 5321238.18634134 4100762.31951949 4777691.92178187 6527.53334672835
547.36422/14.291 5457128.11854021 6482290.87140538 6523367.58655966 4602022.46185352 3996031.46722099 4860212.41794292 4415797.57505695 11554352.4825544 2992375.60211635 5152546.69681423 5765919.3971069 5726533.27515098 7719653.63029998 5863273.07132203 6331858.56337369 4524185.79951356 5838580.300509 7947798.89521698 5110892.62101575 3720651.75998519 7084910.61897552 6147858.91423737 8236883.14141049 6181417.92360608 5448066.36756267 10132193.8177942 4781563.53572409 6707403.07570928 5884804.00833767 6518646.96090063 5863678.76845902 5916685.16642723 7311731.27918709 5638689.7468328 18044.2325417636
247.14202/1.142 1493581.47179336 2134328.19590099 3385681.53175654 3148177.65920692 2340082.39756206 2753817.6127019 1190387.90449153 1689652.18317409 3844523.78424472 1597488.2485918 1100376.99688322 2057041.973765 11094274.6175712 2897981.71282707 1246510.17176629 1523204.98325178 505474.218374441 1651879.51796039 3157266.56892485 4293255.14784266 2300755.45090956 1679937.86156761 542755.863773715 5938773.1041389 5429583.1340241 4909740.14874171 3788957.55301323 3389453.12772293 3484780.50568692 3255058.55706889 3682178.3572869 3159549.30380853 3419313.72850398 3495146.2066243 5265.09155018
487.29959/6.038 3733186.44598959 1884800.80635345 5264657.60483792 3065011.37576013 4783614.9800296 3227896.30832578 3401529.09811625 6127670.64463915 9691319.780623 2051217.44940658 3339389.92721303 1918176.4878412 3368686.21901567 2923959.38110678 2778741.79266729 3735089.46895736 1568331.51868834 1928741.18858869 5545790.33767387 5225520.00361282 2298758.07540581 3713499.1504727 1964739.27293828 10734494.6309836 3062919.42815118 3581473.38476228 1931924.24792156 3683415.78932442 3712431.56396334 3690570.30550089 3757684.52580021 3784051.2369216 3587956.12363269 3756336.19539077 26211.2043721062
529.31702/13.705 1722866.11637441 3984112.30463315 1985520.77479731 4495754.22679341 2788434.40732183 4263940.10122946 767866.922275009 3053682.64349561 1581008.70304281 2259329.33972068 3664502.67906748 1025687.74722464 5874786.02272619 2030668.29779928 10613345.6623649 2311022.55984015 2215523.89872845 2599641.7518367 748266.334495684 2755139.07194366 1073810.52535473 1234689.35120854 1184171.61276362 4770281.90703496 1599180.69907753 1165315.55943319 2075858.0918309 2913073.54251677 2918572.70558075 2468768.55827136 2869583.92891883 2899763.42892485 3213166.89877933 2433102.43505756 11343.675745351
206.0071/0.968 5541791.54002787 8759514.61485253 9464383.81483174 6231531.70998027 5944857.8315274 6379005.40973916 5357751.02923261 9436831.63703644 6467096.43758091 6755963.7043893 7335773.65885252 5859055.66820643 6742578.54560408 7569011.35524686 5846056.77913525 8113055.68395036 7470130.33314797 7860768.50622978 5550466.12373268 4487208.03336894 5174666.69583586 5659164.60861468 5043657.3353861 4510400.70416985 5241463.58707126 5353707.58575313 8847765.65964825 7656924.80109999 7167610.44169044 3665215.32780672 6626366.76073228 6695574.69694206 6741102.15993425 6585687.03479687 4565.24839858912
102.04696/1.695 4040083.4025287 5805326.2787002 8468315.16564225 5434364.32908756 4058505.08778867 5246533.22536456 3911519.28733989 7959851.73000932 7071324.62774881 6831758.1425023 5269509.56361148 4361689.83956204 5874905.46213523 7446138.08056512 4797874.63586843 6870420.36614798 6958977.56085092 7345165.44610186 4324381.72136663 4831479.78310836 4510975.02645579 4486993.65762337 4212314.47230223 5814424.56674545 3814896.04368365 3936928.41356306 7400097.93150478 5794205.19338863 5831543.03515042 6088730.33531732 6004078.76168696 5933063.70398056 5927471.44195883 5781639.08245392 5284.93632966001
142.07421/1.379 3957974.27720161 4293055.46521835 7078476.73478458 5721138.15367077 5674195.6959457 6079468.82751677 4612272.23210139 5318630.98805782 7795632.65809377 3508591.73321787 4264245.6473875 3983194.57258729 4860931.27398672 4555235.81586247 4530830.834342 4380240.4538811 5178915.23865574 4441685.02615561 5594215.59178719 8203251.93356895 5582468.34876928 6480599.19248861 3487744.13834973 9125898.59520623 4532517.67678712 5704711.56408989 4394215.12262361 5600672.48022036 4874999.2916535 5075555.74448792 5356157.46689256 4907181.16952354 5323985.66242089 5258857.52146477 148822.929826213
297.10364/4.419 4497569.07142626 4142181.9812365 4503023.44338048 3519056.93455034 4181414.05887408 5148926.64288673 7325678.04241828 3121740.76403553 3324103.03110136 8153328.56976478 4832312.44277685 9113880.26388981 5390018.50722585 4714599.07391308 5991696.36848114 1558914.16177362 3642288.05311192 5705551.79559656 5166377.94022278 2824762.04396741 5652351.95742161 5526197.36200101 4947527.02568796 23456.1161033716 3965378.69006294 4423241.84366469 3141716.28456503 3977948.20627356 4051571.00500959 4213677.09768688 4155664.35564099 4131747.81853731 4039202.7221173 4042187.69524769 6762.37225477511
429.28807/9.811 3244269.95936626 11159.4771060612 10827.0135610424 10606.3207072365 11154.5656118497 11351.3970702046 1633156.92737971 11615.0497091257 12904.8639375861 10184.8945025912 11853.7003601798 1202770.36626738 16919.9978541423 10434.3067144875 1642221.11717428 10841.6198872239 26073.3516377953 10364.2014518206 1981530.84644138 12385.4822798034 1583216.90095616 727543.234332638 838656.539068115 40126.0029688377 1726373.86013569 9032577.39471263 10581.8244464949 895507.140413425 879316.928246991 796895.167166211 800803.79503067 839752.34323475 865579.217228215 889032.391461871 7713.09641635897
153.04255/1.375 5312142.33918763 405607.366159687 1348636.89549043 417567.496627959 319345.301907571 438892.055776504 3724391.64283647 1395079.02160683 215484.647343773 2263826.01722781 193933.671465106 3975872.92889555 371656.904740753 220488.77662333 2938659.15927489 335051.382085197 608824.451804104 2228697.45079977 8525950.95042299 295954.861006959 3754712.83767378 2612026.42034083 4025849.19068703 298612.590589434 4450903.98800877 4227446.94607112 2248486.96486399 2383545.96616289 1916050.49204841 2307563.80779512 2213486.4234549 2303081.47343567 2163166.38412201 2168011.28282522 6108.21711655403
481.31721/11.993 4143195.0668271 5720333.80093142 3390587.71035714 8575076.94350087 4575012.7895128 5324621.40081675 2792829.22191636 4505037.30316465 2571569.48166946 3118405.69090604 3702016.96085324 3066200.53189206 5741180.38192321 3784460.6197093 3215552.02942313 3653369.68236306 4955206.32619579 3484998.27951165 1972563.85687362 3423999.74560543 3689581.97359052 3472082.16138514 4235253.65893623 4451806.81770895 2285414.17886923 4418685.83826786 2371349.81209043 4128540.44112737 4172245.28469586 4218082.92059689 4301369.71013824 4244650.75995301 4338029.98676297 3957031.32519151 9821.12416795486
212.11612/1.156 533568.558283865 476985.798940765 1651825.13876267 873482.454388635 828574.800555775 1207842.7138654 1991515.13595532 2520186.65121374 5739169.42813673 1570475.55955166 2088172.17887633 883987.024376984 2054456.26346072 2933254.87346901 964920.037205313 6928282.90273469 7997108.35140362 2639074.53010697 604379.556753277 1081557.08202052 792364.840697461 224489.526683989 296787.405138206 2060416.03981083 768629.338290467 937880.127286269 1016699.26793745 2151072.76210368 1979942.18985416 1762835.52987136 1798321.50042321 2014654.6740383 1869832.20880873 2120865.08978587 7901.03215513862
503.2653/8.747 5866103.34538641 1062309.15408601 187019.882197524 187388.670449001 38245.8063104709 204409.463875573 1460098.97279489 191918.082474216 196354.722347563 282816.279249267 624343.581569525 1358875.87017018 660833.659537025 46320.6531521362 1202972.52448834 114981.535853708 718964.114272225 140852.53738987 2910056.09441273 81203.6703284497 1605647.16224475 1100401.72871912 941846.790563772 631450.170508933 1933998.5243954 7971503.34939374 141637.806072988 1252931.48259361 1261440.9924381 1313400.47671739 1282530.2029953 1309576.49389819 1301621.22744753 1216265.21515833 5777.04878763516
174.1118/0.984 5886798.20176207 5362946.14645168 4463510.41798312 3397027.93192752 7881407.32349977 4116394.89739523 6332432.31026252 7359813.70471328 4539484.90268005 4548415.12293628 3725764.03157493 6370016.09717172 3689934.81015206 5846247.88698091 7897486.86238644 4886389.08519858 6276358.1912741 5299566.04717112 7180211.02850285 4278775.22492278 5981257.85869839 5297953.09537828 7483159.16364657 5252717.76094012 7134813.00799558 5314149.63658818 5610890.82028967 6790392.6077981 4511898.6940781 4730235.96169638 5490780.03505525 4866115.82202703 5398529.49227135 5909640.56679597 30809.0327747041
230.07655/1.355 1203262.87258858 2544995.93454144 5005188.60431187 699390.474181644 496566.546253056 959216.047159525 1323348.05868314 5258936.81141089 3134658.83058391 5979527.23527622 1377484.3941389 2042977.738604 805543.486474175 6320970.65735434 1349402.2848484 5550355.96183171 7719033.71563317 6233306.15310942 691624.548321898 517702.866439457 1522683.61314951 942011.446076207 3160843.49054155 459848.064550636 995048.697470504 1614356.40095415 6663943.21261996 2704315.68879745 2537686.61707239 2311026.73857909 2680060.48238342 2607546.24865447 2631797.2150388 2475924.72693705 19889.6806958563
537.37982/15.006 2878888.52011079 6164325.85496171 5369650.09603102 4250773.47102218 4080677.24200023 4120237.37536005 2669913.61979313 5731552.06558441 3439452.91974076 3612012.07992542 3979483.61005669 3817884.19648877 5186083.14321997 5355418.84913719 3674305.86237962 3312329.99597068 7621124.47773684 4968519.49843023 2228810.1287872 2256476.67263885 4113764.29375587 3287689.37761587 5108498.4625085 4192700.34423812 1958121.77474139 5434126.41724596 3602968.11419299 4856708.84701989 4959665.24795425 4867588.42652938 4735301.27075572 5034846.10583549 4897097.12014687 4837744.83898207 15596.7409048803
341.2569/7.053 703430.527602226 101928.372911603 145136.679761599 89991.3582628264 62222.3912148662 112070.015450775 57831.8594677239 6863945.87977159 92136.3119295958 92260.3758033635 25416.2437916805 137682.336105 102899.742083157 108218.685657875 147754.265877232 93470.7991429795 82337.6535780727 94895.1242223902 105090.032985554 141003.057496019 52800.749644344 71223.5756393715 99982.5795277638 133736.709379975 72383.8142497791 134382.831477232 124793.612803129 418209.117685817 449984.898761632 454666.144527878 430126.486904381 418711.245139646 452740.522474787 432573.998679835 27821.3388757619
346.23579/8.037 251243.063231184 1114178.23528809 1230185.74330232 739926.939496179 1179404.45572387 687563.079601149 843262.164769069 1822047.74125716 1112497.26261645 1574108.44879672 484394.515043987 456414.376022056 1142579.42117541 1082188.99590542 821563.764476925 1827495.67817011 2356865.16004659 1131765.2656405 460145.862207553 361324.983507607 1551856.66633504 1284111.01301712 1557037.98184296 1510409.32062304 722896.757431897 1136368.13963099 1109186.06694534 1428427.64058127 1361290.04121388 1365850.9009119 1356713.37667143 1348451.62127458 1385966.96414171 1412754.17359566 6644.30785227857
426.0242/0.945 4882407.26318845 5712932.09343222 4683036.78204579 5893799.9832556 6340250.17469244 5276848.00165856 5330993.14356196 5161566.9349252 4366629.47537656 4981562.86419797 5534087.92657481 5617665.00361125 5355899.38125508 6275966.32793569 6188228.56690169 6532931.53006834 6446876.7031003 6070759.43007214 6137640.89668871 3564234.00184536 6108033.3022187 5611272.26797678 5510005.67332018 3321093.44554258 6464236.92536763 6481200.94777951 5762488.48543827 5866188.1703899 5781343.80459736 5315438.23323094 5519247.51791649 5552227.24053327 5599268.72468025 5956376.45725911 3654.51186723288
236.1624/4.582 2506135.21463391 2528513.818925 3901203.21703932 3263982.95623555 3383299.42804959 3084282.01816447 2978001.14725894 3419360.20091653 2796108.67633542 2021499.78550941 3115118.16563762 1973423.30706722 4047046.97629193 2476373.17723117 2823260.22188862 2682624.81363833 1897282.80368507 1995399.28678142 3621936.7943102 3632316.70619237 2098010.24269258 3008389.84166973 1852602.16098825 6554568.67156424 2516485.41215545 3761562.4823363 2021098.19369977 2812586.61702741 2784310.41948194 2848787.45845823 2816368.12409004 2790653.33260968 2792835.20455646 2867854.94640257 1211002.39948709
222.14675/3.701 2337341.49233772 2132586.878054 3742895.54216162 2930990.14219139 3502494.35550263 2834417.95460265 2451781.88831565 3321275.46285361 4967948.0051383 1741984.82525463 2560465.46133363 1693769.9526824 3188353.87319615 2301375.29198263 2504199.06555778 2840532.92314442 1360769.5380278 1730105.20858899 3479277.76112764 3616828.4888755 1931122.59732485 3001497.12497855 1434861.56728406 6218405.63455823 2308492.3279912 3047498.28228011 1485027.8015417 2546046.04905071 2515898.64508196 2438059.72791806 2618261.05702273 2526250.38197864 2505846.26545676 2515145.73487101 22850.1305294745
255.18354/11.005 4121403.94256734 4809709.49981292 3997085.38002723 3441709.10282377 5306684.02182793 4929669.04340434 4940333.65726148 4488973.93543554 3522332.96530635 5624884.52978172 5823764.83552061 5983038.92537297 5120685.38215599 5558467.20718448 4161371.89842938 1140751.41257115 3805129.34529615 4978079.03174715 4153014.37275093 3926303.83490395 4175753.13843977 3769932.33550536 3674297.46819721 81746.0291829219 3500814.51212651 3255343.25186062 3345719.56752066 3586176.60853141 3469275.50607216 3743567.36256613 3528504.79820472 3682659.36666882 3723184.77210171 3374262.84507156 261085.258544526
294.07564/9.944 2125049.93960161 2197067.54587522 1129816.94026151 1032000.6430945 1761137.8057163 2994664.32573159 4723977.14337801 1727576.10723988 654806.753773493 4933117.9342553 4399448.57807118 5561154.11739248 1297429.13253695 3321533.60601538 4380783.81434888 435029.734876178 3094854.70539925 3501283.23360097 4110899.95310349 557958.732189699 3617653.75035247 3172492.51001116 3937188.19808094 19504.952227203 2680582.89571995 1966182.22758179 2174576.17955787 1409342.18368957 1395261.73065544 1409964.91164559 1466111.53404963 1431586.59278777 1508623.56101951 1272812.24086593 8258.04907346733
467.38243/13.374 1221632.15852 1316586.39407764 614757.448578213 1793122.07215641 1409087.08102805 1891362.3893479 1860098.77767545 597612.481306811 4013721.27887583 698089.95110899 632041.837564932 1083466.17291009 649659.630783567 779255.59176435 1082844.39855185 791607.068288022 4398265.66971644 718387.102737063 1167495.62601712 1034805.12019007 664120.979797598 5413643.29307681 1244670.15066269 1013936.05706403 1034764.83714911 700593.193909282 718882.918130804 1482013.60758261 1416747.69181875 1446111.7377757 1419998.4837459 1488148.53268326 1491868.54417464 1391692.79802323 22847.2797781098
85.05273/1.277 5053013.6456771 1269161.66616562 2777006.15410852 1770238.71497287 1029424.9022108 629541.807021276 6054731.92037901 2732761.11661731 669386.201691741 3152230.10470073 820991.6134805 2991454.67666912 1115392.36659593 1823096.80629712 3651366.04654397 1296643.03803633 1466354.96098556 2757368.70448944 3081790.07300868 1121645.04008182 3479132.759384 3289569.8888327 3421758.45720876 1053145.5541923 4124305.81257924 3061850.26614172 1784953.84816448 2383843.40898253 2520790.99597244 1953567.96827434 2972168.46360296 2241769.69884874 2269449.63272189 2498176.63098641 294022.183341247
188.15256/0.918 3414602.14132367 4492707.18477956 2936142.9464769 2824925.52713722 1929369.59381547 3000806.3950166 2775567.75118183 4537617.2018934 5197908.88093253 3229446.93525357 1972546.2928996 2487251.9745412 2839038.50098985 4240395.0289712 2288020.87745085 3180161.6635761 3858674.7222202 5467004.81761626 2892008.19065604 4290821.2979373 4055655.57469506 2484391.61753571 2975044.26286936 2144000.25336121 2554486.67060179 2771659.55310128 3938257.27834704 3489596.64353294 3159521.36096929 3247809.13684362 3181098.99518793 3639638.67796534 3239710.95628185 3229135.47749495 65760.2486057554
485.96213/0.947 4638083.49813071 5159652.34469773 3891304.84358196 4449062.73560367 5053551.88345747 4649327.11784266 4664748.2409157 4771012.31227509 2415910.08930735 4887582.46686888 5139618.986776 4793402.01852864 3866458.50867326 5079838.62183552 4763398.24764424 5334139.80485112 5152158.67477926 5015805.38437028 4106481.52861521 2020117.68444914 4883054.67228309 4575918.78142144 5168394.18260798 1347432.45364139 4586704.25676132 4645062.18894998 4860252.25330297 4618005.83846356 4642061.25566824 4616216.62805047 4615797.27829111 4633347.6981962 4555381.35930792 4691722.12786707 3899.5793279981
503.30075/13.085 722149.80231097 3394818.69135928 2218831.40463636 3968785.85241756 4144516.71833448 4050404.1029359 420051.465907559 3275229.67585501 1813802.67316919 2060845.60267688 3720270.22531139 806752.115529261 5118797.89594939 1997244.71495965 2188399.06613804 2636929.33687728 1615088.62605957 2017346.67362584 365946.027322725 3883239.24420673 2068920.05517505 950303.908100186 1061172.19381615 5581050.84125465 840213.0060324 2309574.38215186 2372713.20006483 2151024.09967716 2535149.95005497 2548894.64665492 1900941.88040044 2378224.90099052 2347550.67534482 2427091.47423095 6921.19406853975
210.06169/1.103 4607347.52164321 381349.216670271 219571.745774531 1358590.82688727 904494.910212392 423171.120613257 5278167.00366102 339193.608691102 278182.866150888 1506069.19605458 1063245.28247058 4472278.79600201 619627.174579246 919080.76448307 3685788.85309785 229656.380585449 838606.835824842 1365206.29762662 4406105.65248397 323080.915209697 3921167.84044991 3830344.54735418 3850485.04899176 102677.548448477 3819313.93194743 4315363.43129119 596391.100762982 2420380.28440708 2199472.70949709 1124757.34343375 2575354.89932652 2282002.42424959 2285479.96371222 1790046.2095204 5582.40574735435
129.00957/0.883 3511181.67622708 3734667.82006927 3406251.5534405 3488423.38244134 3216188.0191603 3453751.24068368 3471048.12567687 3777314.80799469 3466758.25212689 3666309.75826921 3466489.75924722 3873012.89598695 3549624.10778899 3156076.6578002 3691666.3318574 3331077.00416713 3188384.33060013 3627300.16443598 3822412.16285355 3719606.93993551 3689991.81490059 3663508.79838915 3809107.5231244 3730419.82665218 3540922.13771386 3562325.16566985 4022072.38343551 3623570.92741638 3717815.17045406 3866156.47405457 3698479.18208288 3677099.31658032 3748899.69286306 3682467.35029556 139117.510998862
193.11028/1.369 4276814.31684687 3674124.36520915 3747495.34762403 2637170.63772508 3018611.08130734 3736064.43018152 3839471.7166208 3614411.97349197 2752778.55430466 4296318.40161325 2664933.43983653 4471535.62489052 3346707.65391242 4236716.31271568 3731966.69027073 2438331.44303822 3649681.4902374 3551558.75154364 4099633.52159779 3612956.29539577 4640251.54457363 4307292.734232 4109261.60593642 2349325.82922482 4361665.61589356 4669636.4086642 3435497.62264336 4533743.23924935 3780706.52692647 3626612.85439641 3564817.38367375 3781849.67411627 4378325.07810981 3954616.4514032 548679.82682301
268.09632/7.374 2123783.22129005 3310688.33065808 2529743.81754237 2505387.83243092 2544892.35389465 3161172.47130375 3394709.84051366 2507875.31989735 3619917.92570498 4779373.13216151 1891057.422309 4340485.65010268 4083234.27004541 3666921.61911433 2830285.73460799 1330145.43924737 1863733.45669087 4228992.15060142 2798860.59541803 3775687.24363682 4407090.75202498 3570869.38449781 2731048.40896674 63060.6073554158 2373227.80969886 3294643.20575313 2293629.21576038 3339900.02442472 3222122.2440534 3195609.22667401 3221356.82683169 3606582.12365285 3167157.20200079 3195817.9986986 8487.8958194985
225.10016/1.94 1537006.52546517 94187.9916468163 70538.4282768399 14625.4959913019 22931.8465032606 15944.2998531435 2449238.2716906 154299.061086837 289860.69094956 425373.304485583 20900.1451463894 4747755.98923449 92500.0680161959 311586.680657776 2407260.05845038 120125.225545528 375002.279151628 483761.313953916 2882868.65777934 71870.4921666704 1744660.36453929 2819084.45905432 2274777.17594209 59176.4939030633 3078452.05282129 173113.062233237 394986.693486681 1233605.2627585 1262645.27720601 1302794.28842196 1289451.13353923 1273758.38921871 1254450.13239287 1255125.64441194 6891.48509859791
549.37956/14.788 3934818.04786116 4405665.34783174 4031861.98998281 3475057.37511085 4188059.64753805 3257018.03676038 3086744.89836135 4401649.66840403 2019271.06894785 2884896.3778148 3264957.84456921 3368101.29436812 4535859.69718532 3814943.8217152 3303443.49627092 3234434.64843167 2743762.60130028 3437124.79271491 2491661.96601682 3337412.63603652 3239745.43302878 3647297.25840559 4502259.00429881 3439274.62500299 2423510.98014488 4667338.58429238 2886766.95534926 3788868.22879614 3900694.44933978 3952682.68717904 3706798.19845274 3782986.19795814 3955555.97348854 3816855.25340226 14679.0187745699
280.18876/4.757 1852039.40604613 1475741.05219033 2685556.19376829 1940860.34122023 1685147.14182746 1950425.694413 1919398.39779193 2317535.33270906 3823207.2585974 1164651.62482541 1790693.97273259 1184205.09576979 1692883.82861187 1621085.61808258 1705524.26759471 1985829.53049161 906821.990960545 1149708.77748808 2716719.09054456 2844359.2759774 1185983.40852052 2264709.72638791 1036161.3000268 4539001.06540342 1676464.31703083 2150795.72572662 1151632.05371741 1966416.33555564 1898910.67743422 1811091.55974485 1776580.7179204 1793852.86932216 1922881.71314445 1948038.00890819 6164.07440645701
527.30151/12.89 624784.880841722 3181848.3591731 1565350.25646708 3291213.06030174 2037399.12415638 3118796.29221586 445904.592418792 2587160.93099976 1392288.83145756 1389483.1718202 2810507.8643273 462863.147951378 4315830.24829662 1705021.30873285 643280.671465606 1376814.67073754 2530263.52981458 1689036.98811341 485149.535183397 2474594.8801499 722418.311623833 711086.326463091 745196.657109347 4520088.40568225 617193.711119325 896253.341507764 1423451.68223679 1957745.35920311 1912689.81785598 1910101.50169924 1863109.75444864 1947550.17133095 1879869.42356786 1970671.56471086 10039.9230146508
484.28046/8.624 337890.394526497 207740.857140242 96808.134453648 201250.965129033 87205.9306103965 204042.826643066 864941.953828164 246268.739707673 70416.8735617805 278653.054070509 146029.299860675 179765.128836657 161973.43030733 102982.262682141 185297.659830322 281329.448951635 11071.7469797051 140527.004619839 663039.39545351 103619.238613567 183207.265231336 413878.180597619 183842.762034299 202875.189622359 616115.924885433 4551862.55715426 224395.242811403 324743.332976379 297361.924060178 172919.540888989 310470.789751701 361942.869368955 213236.237609223 315215.425831559 5654.05438748518
267.25625/11.298 455327.324214859 1985092.8063252 85252.5526351919 4279246.18937163 1361099.30882604 4400566.28701843 1408571.49010035 194773.553587283 760055.143932828 148567.734296024 116200.048416247 1815476.1027081 211076.088798502 802024.7136614 1866592.60980561 116952.066138667 791093.172046939 161872.22301786 1788379.61464266 123505.278089822 105832.403874856 1136813.95239757 1459977.92410924 216521.200989011 367959.487769146 127296.339854632 311660.350246636 973819.325805508 952717.783236376 745080.707768532 996638.633480655 967752.985491411 924502.003874363 893937.953277241 78012.480726971
147.08949/1.359 1018566.5940237 915493.566974428 1068780.57798231 1017841.85815463 1121994.67329963 1053435.40674524 749845.654294042 972101.524357395 1093246.57179416 1128535.7792503 986599.802092311 964307.095063818 1184624.94138614 1016905.95019749 851365.582395337 828009.503684677 4156163.30776882 818638.390769905 715000.443105288 1020917.08117177 880268.94002379 966188.513922727 806640.037786413 1009291.41492955 909051.355833701 874443.609766029 1032801.1413757 1201631.82430207 1054101.44796975 1103932.84214828 1157671.98421601 1093744.13667118 1118967.60300816 1144443.12008209 170030.161949666
397.31936/12.719 3596254.66413771 2363636.34668635 1276097.8891025 1345965.08771272 2329577.16417973 1289157.36179695 2963972.63860275 1787636.11885021 675143.474598336 3206892.91177738 961744.400248993 2723769.76731911 2644657.81088802 1730197.3398916 2744511.25379341 1687130.96662188 829894.319575606 1613741.91889382 2012345.91197944 3461556.08555893 2197292.35485924 1660256.92038334 3969876.75291486 1542634.72318627 1813002.261385 3099519.04345514 3042063.63405569 2183800.12934077 2193695.36350123 2225982.86935097 2212922.26087846 2127913.83990888 2207359.37258492 2216664.8756376 12438.7926998653
360.15348/2.001 1062817.63800783 1334857.62331663 2107236.09868452 2270642.72846496 1691225.58703839 2082821.83730156 1643335.38865317 1457133.74729332 2695128.18717416 1191858.84910769 1598800.84513455 1384529.25552367 1745585.46491958 1454207.14473443 1858523.07080241 1754862.3454281 1668125.58393688 582220.347632149 1789716.40073406 3982202.71036596 878158.046282382 1465006.75617777 1014520.19756647 3732986.65328883 2094105.29130017 1862648.92099674 1789037.84823664 1706088.9504988 1705983.16254173 1712020.60928545 1680130.95746563 1712393.18010192 1683641.82664893 1726934.98110385 6971.38690088627
149.96954/1.329 819176.93908558 2017459.6769091 1872608.34609826 2282256.97112552 2681048.32649671 2021651.27669889 298010.994963501 2022265.23906162 3070959.07905571 1842676.60919925 1821088.7376392 836692.281553619 2689505.7684085 1880051.00352228 764577.576053762 2206597.70878584 1758190.45213489 1576759.46868699 469979.560020787 3960713.68945674 291718.772651908 241376.521456412 337403.331905716 2823730.11930118 902196.152537867 763689.040431094 2619646.12649423 1922847.53019586 2340124.43710024 2017997.12786794 2073233.33913507 2191815.25589639 2148507.18162758 2020807.43183412 6423.79915313658
