Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 QC7 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC blank
569.34841/13.364 228721930.64848 165336080.110382 174528768.562731 139525323.872176 131870170.717041 139239983.718935 157113528.15794 169337829.721804 88843928.3511527 122455761.354673 123753016.494851 214166081.317456 212851246.887744 122094382.101251 228938515.37765 171093460.810488 103711671.152583 142090905.287188 205851192.371962 122152306.584108 222625304.2722 191773921.810975 253375732.123599 174354406.260804 200630345.268521 273272837.494214 86298119.0905744 183676132.867799 182335983.86091 184545073.626556 181450032.198349 180716140.692469 182615814.542156 185154607.329031 11961.5424440005
113.05891/1.026 66547556.0225121 21789053.1755284 31730314.2592801 70062986.7111036 44972356.6034344 22876749.5206858 93567307.9637906 27527408.902855 26138105.7418706 37813833.586712 87564418.8327973 53646674.42713 251422703.612391 9491125.44213966 82956478.4818648 61073001.2446466 51365217.7167001 39552947.1633296 69419211.3224434 15066772.3137859 41646726.392718 83067654.7393543 92444701.9795963 32479582.5982464 77772803.8378661 80978133.0990215 7400332.80318308 22472777.8309783 30860539.2791984 30454689.2115982 39102272.4534125 38063042.4252015 27564735.9070201 24260938.865263 1464867.82374587
187.0634/2.462 29002459.6616009 94988894.5082906 172198419.882346 67516911.3308723 58778874.5191818 65017411.13558 35709322.7221854 144366570.639679 132215844.058575 145680853.91748 72048230.8105931 32122353.3799748 69215282.6732016 158097689.051087 27807158.8133294 123203047.126064 103632415.781428 160513385.747569 19317158.7100174 33723251.2249514 36589575.481741 38901165.8105133 42739154.6485076 74131454.8132093 20841887.52046 26469358.3967454 138162868.531893 81417249.0861123 81860353.356302 83534998.0134685 81813631.052089 82558406.6747102 82688621.3628998 81097454.9581666 6239.99262199735
229.24063/10.833 12842521.4898468 34237696.6085295 2614401.89110093 160810786.837576 1743280.74074513 151644990.301234 1578241.09295716 13358615.6667516 1512125.41625502 1450950.76913106 1479713.24569505 18114000.6022127 1371571.66140486 1484536.32434985 31368520.2256148 1527939.4906074 1394313.37681016 1444228.36551887 50223946.5054408 1788825.84881403 1332590.62836687 1420906.95115818 87547865.865287 2694524.68992548 1365522.98142269 1692187.64753517 1396242.3743526 15329526.0157247 15318173.389893 15229389.8005033 14793865.849153 14860174.9754479 15193915.4315961 15619994.515054 1903370.49071722
292.09084/0.929 80867542.1836719 76463401.2871548 100000578.356635 90391706.7751236 85905978.9029033 93214797.8742472 89956145.9569996 85197555.04166 130849774.619105 68859085.9983745 79717682.9937053 74869519.1947638 100595843.644708 86981463.5894191 93125381.9381456 95380212.1332408 87534129.8039229 84056191.3741126 98198653.627101 135231706.109576 85161621.3088825 91649171.0631135 70483840.1801367 141791370.144635 92914879.1009004 94266934.267326 87315613.7889044 98492227.0462133 97115927.4844812 94076790.9271494 100302429.77316 91997157.0508099 99334252.7857597 97348324.392807 2384.42670528962
479.30143/13.484 40589821.1143623 111577622.229415 105433567.815993 100039923.368087 76076212.1702374 98920901.9444522 29841331.0279452 131708105.5193 54722760.613949 73884631.9135615 105936398.316436 38682614.3794594 128168971.138029 89966589.9768734 43918095.9503003 78204606.793549 98160089.4686193 90970777.0983814 31392569.9769994 72121618.9093391 47106959.9909419 37271167.0308988 44207789.2634893 104527060.325906 34206822.8354997 60338224.9582875 78093124.4155725 78858416.4234246 80062428.1375116 79837945.1127317 77642930.2579416 78171949.5920635 79325414.901702 80299779.8170719 12653.8372167815
537.37983/15.339 42876132.7653024 90651602.5266281 84289672.5097554 65977980.2854999 59604170.0179125 60792582.8463477 38386511.5846356 92330696.5459298 52323940.2555231 56178415.8740171 57707517.1955617 53145202.487988 77456559.412263 85000127.4585409 51021115.0472613 77593255.7891953 122207377.294565 75787109.7391075 32452694.1777374 34229310.4240244 53745884.7950011 42473184.346629 70848042.9561179 61379005.6238437 28054907.5186809 73031643.5138829 55910543.587053 66486148.8095122 66805977.5011458 66942249.2408954 66800861.0423357 68236346.1699958 66491770.5442429 66204390.5828568 24246.9483243529
216.07474/1.037 71285509.0539782 63120183.0747375 82227917.6785686 73814988.2577784 85496511.8477861 83418849.3028288 65546849.8701327 78933042.8780121 110943813.426567 56968608.6759324 75389812.4818896 58607770.8841461 82716160.0637485 73318012.9495261 77223379.8345983 73045406.8589591 65308303.5259811 66199812.4025713 91962119.7824799 104103498.624078 74483168.8521349 82128697.9118907 56352399.2618276 102331635.173756 68144059.2097271 91047122.8500581 59676871.2601641 80184536.0759291 72413803.5719067 79763892.2269696 63339391.2675437 83519810.0729443 66004659.6501333 84627210.740189 430759.925767939
217.13145/1.519 23560472.6486732 27618693.5712768 48800945.5773514 19259724.046326 17778129.7267711 19070212.9651107 6740873.01811314 53126203.421007 49177548.178859 37666452.367399 18244392.4597453 6840018.09064524 48016490.2261239 31439685.9300214 7931706.22268196 42820320.6222759 57199500.9083143 35132165.8346336 14277226.579063 26711550.5363335 10587839.8696319 10066678.5104824 5035064.72218763 23154389.8912579 11525738.4215299 15738059.0851275 55257399.6665078 32988239.8798266 33665203.1289364 34401571.2369475 33553834.6733903 33710095.7126423 33728229.546725 33260741.5915382 16885.0575027489
481.31707/14.655 41923964.3819126 81820058.9342594 63189957.3992667 66216535.7985543 54430403.8855253 64243668.5277951 33922966.0657458 65124390.9404777 51355800.9102814 47836805.8793329 69217659.2484663 41053267.683216 83483446.1395387 78377222.7270061 44927797.8760349 68358549.9288464 99815142.0185416 51968988.2744067 38745921.2344395 44437743.6979698 45057276.9467759 37689019.7517517 43164078.7705931 72868616.0189869 38286915.2866854 53005466.5542249 50915841.935518 61030471.9059787 61426822.0678824 61761596.7791999 60875514.9307188 59837980.9955259 61254590.7934397 62084109.2172374 13488.8572621221
