Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC
188.04984/3.055 25191825.4345366 80583993.819057 71393274.6720761 74173014.9175466 82095465.2286804 72286662.4693295 11466623.3259585 52797052.2130505 71714181.2788004 44553800.0928192 48889931.2761108 28115379.4507445 75155506.1553622 57302004.9371671 20910917.3912392 59261546.4265325 45875982.2131804 38944925.7878202 11285881.8324245 75471514.2856311 12715556.8619405 10679710.4541971 9269395.26172678 60171224.7177652 22617950.0282438 19110268.7831559 61433016.9597481 56340458.0475169 57313602.908301 55950590.6346 53985553.8173143 56576523.2463119 56940184.8340098 11188.6962297002
581.37085/1.781 70492540.8509256 80024973.3482073 70951161.2453763 71041575.6759314 59242178.4792699 64267075.9712124 60587045.9814967 69714539.6893916 54871469.2095026 55306824.2986418 70914438.6938335 68219519.197662 73730246.6127885 67216223.2469092 73033415.6434562 50109065.6531897 55593689.6496688 64686828.242558 73514638.096871 68965724.3143574 74820434.3382722 76131354.1554245 65400366.8068102 78183400.9817101 70423622.6600979 84577386.6227303 58655181.7841664 69892487.5949074 70043510.7853968 70369287.5113587 68493489.1570586 67235147.6210514 71585607.7094126 8995.00109896972
172.0853/5.55 29244806.5130123 30308522.8348003 58122866.6220829 38184131.1896224 38538069.9327454 33223192.3621808 31385154.8615402 29847949.6729124 64719883.932055 18278884.7318963 27718395.1093558 22404289.4944589 41977153.9743188 25927050.5914767 29898618.9117043 25781230.1149884 32409325.3877445 29530490.2947096 38465608.5852719 62181891.2922343 31334103.2860355 39178862.0584334 20669351.3135055 76927457.0958455 34093064.6392397 31762420.8597544 24086827.2202877 35912164.5507592 35547145.5065579 32892675.2506997 31081434.0176953 31244016.6371069 37177625.5765747 5221.98437284481
162.05331/4.819 30410917.6442845 20105267.0630971 25127524.2739009 19358596.23503 19320596.170773 17436554.2965183 29194182.6753792 20110648.8535778 19368578.1063647 21312220.1075291 18040694.3265177 24354281.3156927 17311724.6486789 20651552.2967247 25138963.3741308 19321140.7392615 22615689.5404135 21214634.3145051 25982672.3749367 23359280.2204596 32429031.4868236 25970701.3329723 22235811.6685914 16531828.3918699 32013122.7480869 28986635.2431782 21971180.2442673 28644402.1644985 28728938.5053161 27773539.6776807 26640414.3987015 28272015.1752211 28878750.4125495 10532.8510885688
193.07439/2.127 70184575.7848579 433420.544634724 8675222.48662369 469782.494179217 720284.819499218 483896.423209512 50363260.8045597 9081117.44156732 1006405.68646819 15737591.6608887 509676.606202402 48886455.1985191 564310.967919224 827072.559160021 54336102.9256395 1755348.58771372 893349.933354592 13828143.9060976 42786679.6314087 893929.040114274 45594393.1425069 47908902.5638927 46825232.4654254 1375945.67734426 61981887.2362021 52372961.8146201 14183025.3487307 25837125.8574679 25686220.8660383 23813325.9201571 23355585.7974129 22934239.9989988 26694863.5161149 12173.5603074068
466.31246/0.522 32312939.8660994 52052616.3925598 37398235.3827788 40844282.077185 40435224.5091216 36208379.1865493 21874736.6466196 44330144.1121711 27628125.4277464 26760487.6283111 41920202.3478615 25625719.122177 56297658.2205368 32997724.3015971 30959683.7629867 27847046.7832085 55838402.7638619 27560545.3977131 49218249.2265878 33627602.4435585 46656997.7175801 29664313.9909989 29860352.9839842 47584149.4386312 42012779.4562988 53617416.0891216 21246051.7332047 42443299.7585833 39402016.0064764 39897242.8940665 38174872.4342414 37613140.7172042 42509338.3638576 10676.0654935747
189.99401/0.534 29178352.550689 62844484.7160631 66624820.9444272 49151178.7048168 21611643.838959 46615284.6785864 35851277.1009189 37199871.4885072 10472332.0904037 24656142.0442406 8071012.48968722 38662325.9670637 33608092.5093968 50382576.7173299 11310007.6346303 8256649.43140328 4032353.60479361 8464555.05143352 6831000.54001041 13716885.8791367 32210084.951122 9066769.10456627 21756587.3051953 18110102.1785573 8777055.44749566 23438869.1260681 31463120.5888027 29323059.3312724 27811582.6180822 26217139.9564902 26017059.3481954 24460442.4896994 30126655.346685 15164.8164837408
583.38609/1.746 37183547.1754397 51496172.1503941 53856872.5289921 44333313.7538427 44123617.2198446 40505858.5500218 34407476.4914077 49458629.0275483 51129583.790506 43470145.0581796 41766612.3313092 35253457.1097305 43757537.5194711 48152287.5205642 37901025.1443925 40101635.0549511 44655376.6519335 42387667.2769307 35891271.6275881 37249840.2229571 34223263.1660789 37372399.2313849 33293047.7200851 44843717.9379123 34631872.7368505 40791359.6873034 40201989.5287466 42186200.7564785 43507971.0154667 42819561.8278634 41748532.9501284 40990211.9012698 43860899.9481353 6936.16961300413
139.97839/7.066 17749287.6569249 11372923.7120458 23741440.5287212 18261033.1536335 17422370.4326252 15143763.6153258 22086504.0990904 11948126.2048043 39456595.3412884 8816882.70069069 11462954.4211265 11247468.4228257 17922430.9527057 10093968.4850077 17475186.9301852 9970443.95402246 11456770.761342 8191406.03026209 22046483.4373162 38639743.1483077 13892935.1331008 21495178.6658532 7513614.77452337 39098670.0497441 20559187.8914694 19476000.6357864 6579789.79910446 18116613.2027993 17029041.1329802 16387322.3592123 15422903.1378947 16379382.5509071 18208684.3397709 1520162.31758173
196.05874/6.888 39021797.705142 3499612.67175371 5137158.45564599 3688896.68639798 2536603.33678099 2805207.77542394 27682087.4599871 5889579.5796886 4395638.64600678 7306349.91876909 2889522.79706965 21454748.0462549 3937854.36474019 3213071.53247644 31656598.939616 3372397.11061111 4292279.80497604 8111853.27242114 28567104.3264187 2898549.09706467 26354759.2210239 27776761.5526761 21243116.034982 2869224.59201979 26083330.6614245 25400588.2718811 3650110.24364983 15497792.0826239 14874120.9488653 15531874.4642264 14015050.7004264 14168340.6659541 16020371.0265196 40335.228781148
364.05829/7.89 23987639.563514 16598856.6165106 31016138.1870211 23267031.5173443 26505077.9491842 21843771.9916097 20476676.8506393 21513432.9046207 33946239.8627445 15022397.9323444 16702452.3140286 15725328.9481059 25884093.9303371 18130594.5927934 22696866.0716567 18031227.0508362 20359088.292074 16661393.9424791 25040635.8528746 34347689.0855575 23193719.3381379 25211033.5258285 11613823.5293428 39042177.4150759 20161041.7746183 21047914.7160762 13839273.3618995 22912445.2483344 22495077.8484409 21928585.0881066 21301814.9513683 20667547.3274184 23994694.1684056 6188.51208049265
89.04792/5.978 6053837.29979608 8146799.86881043 11626983.2491919 7774564.04060849 7130600.75329542 6580997.8337911 4723488.71865888 9158445.99321511 9711793.57648589 4990339.54619772 5140520.6297776 3148635.02644778 6594713.41671891 6584826.57577295 5248377.29399067 7219585.72021614 7007207.41136105 6489847.97270244 3984150.02375473 5605014.7764929 2592357.97275759 4629017.27856954 2454843.40543867 5502418.55913331 3693225.35379145 3045090.88668558 4515314.22719756 7726269.68210298 7806327.74899179 7048935.33289608 6850485.61900222 6614941.26222473 8084943.8575661 7209.38357780951
390.05892/7.709 12770912.3454524 11340902.0110072 12351859.6330039 11593813.6915413 11016011.1164089 11118693.9902455 12250433.9447842 11306742.0806049 10934648.1315459 9502379.15976991 34813926.6621116 12338366.1212379 14211483.1468311 27076790.3372469 14726809.9209878 8815629.9172704 9213410.8461489 10689596.0831864 13870476.6078419 10188072.4022975 9696536.94070596 12447257.4370651 10474043.1286893 12814082.2057902 9600660.81167806 11851425.7205245 26155890.3609373 13195167.3540343 13812070.2933146 12047522.4274261 12797076.4002338 13093652.6460601 13386583.3400471 11090.0255505174
225.8738/1.859 2887320.17805251 2006322.1591181 5038786.7495471 3923090.4904533 8206202.45382942 3015953.11698344 4285300.59966364 5107877.52418082 33450354.6475081 3036348.32187202 4915610.27774343 3540476.49366021 8590548.9876341 4222225.22324426 3642030.09472509 4094707.07787006 3306540.03681169 4152806.54921476 8437775.5071071 12921993.9827191 3379841.70519503 5073985.37393593 1570245.37315281 8033643.98356814 5480365.42051459 4549815.53984011 4529628.6145498 5635139.63374557 5620989.83771328 5273000.98102613 4928076.95271538 5050419.64636202 5849628.28401808 8865.29713700049
196.04109/0.747 30910774.3085415 417535.01373564 1415185.08190104 1294927.78573599 882488.64693428 1129685.94982593 6871823.88829452 357894.149650999 1338158.23444881 367852.137041874 508261.800115336 5313007.44993483 499833.993145829 464983.564997405 5373340.12489048 374477.836910523 685365.041359442 648330.273084423 2313064.7862898 1709440.34464255 4499157.36881501 5604563.16268216 11630824.9661887 3082982.7925371 1983842.67227986 5089077.99793496 744466.57917482 3806813.87296194 3788503.59201106 3528345.56358006 3299085.39016872 3388147.97863966 3982175.75389503 49900.4841029064
328.24062/0.598 28657304.7146696 11123393.556265 9101816.28002552 13133569.9741812 20826012.0259382 12587617.3062838 15195564.2340352 4299386.51135992 526205.39607741 9327010.52338512 9889530.35919623 22870218.7393239 9553381.9005976 6346471.82806583 21455535.629153 6335335.30547246 8601996.39535197 7339498.99997012 16485741.7441597 16955660.4961865 12036012.7323241 15660609.8926225 9504690.92865922 9010865.23564443 22745541.4552303 17580109.6004964 6783662.81515231 13156973.7697101 13829117.6998402 12176566.1104989 12344616.012745 12078761.9259133 13865899.4931666 5555.72671821349
112.0276/1.036 44326.1316965741 139982.224273409 748650.140190578 110311.832955894 105110.993245078 93630.3289454255 41146.7556947029 734317.555986852 431000.195869786 380834.092260866 124611.901850014 46908.7372726952 470090.741310585 367053.761751408 46973.226714094 300168.187216632 466361.739017649 393987.170654295 43348.0105219672 249204.53901058 33146.7219977776 41433.0560817986 14907.1320490387 195664.809626227 40242.9374503413 46338.7882519631 461667.463682485 1294817.39575197 1282197.97965689 1210891.73991413 1164906.55525726 1180767.86611974 1319935.35688343 4958.27454385729
