CalcMWRT species CalcMW RTmin P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P1 P13 P12 P25 blank QC1 QC2 QC3 QC4 QC5 QC6 QC7 PR_P15 PR_P19 PR_P26 PR_P28 PR_P6 PR_P5 PR_P9 PR_P22 PR_P21 PR_P23 PR_P4 PR_P14 PR_P3 PR_P18 PR_P16 PR_P20 PR_P17 PR_P24 PR_P11 PR_P27 PR_P8 PR_P10 PR_P7 PR_P2 PR_P1 PR_P13 PR_P12 PR_P25 PR_blank PR_QC1 PR_QC2 PR_QC3 PR_QC4 PR_QC5 PR_QC6 PR_QC7
155.03485/1.044 "(R)-1-Aminopropan-2-yl phosphate" 155.03485 1.044 456667648.453811 494850895.805712 728286217.890934 641955832.1054 477326051.979347 647203203.339191 485575011.11417 529828298.806184 949632123.83058 452922039.383859 643253856.334326 282711999.016108 756299289.767741 519512779.572327 456564011.805011 671706586.32345 431836245.765871 485178434.066076 385942211.861227 706409967.909828 305669318.915206 508958838.792655 375961325.822713 630681109.36885 631475676.101031 405338795.785287 464793331.000404 530297083.651988 908587.343519404 601707341.092848 593327278.470262 579335559.910563 583853197.096066 590455247.719679 603695125.93239 586675616.885206 NA 8.4 NA NA NA NA NA NA NA NA NA 8.9 NA 8.9 7.8 8.9 NA 8.9 NA NA 8.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
493.31706/12.005 Tiamulin 493.31706 12.005 252542933.679858 419986782.885128 260644121.348022 610332235.099626 242669518.290353 592865461.044156 203950060.484776 382350953.909427 183067612.111909 239420511.377856 586477379.087563 346423348.250869 861248934.640514 356874861.121341 345663422.862051 442160499.488092 506961248.624168 411501228.887609 260486638.794942 449432118.332587 403673965.01204 227469676.87371 299012524.833037 602757753.747957 247872649.428228 261535101.457133 345324518.415589 210936058.217684 9388.77754115412 329650998.783933 335952386.013156 331020933.425812 471024821.838379 338595053.850716 331386076.887915 330687225.983764 8.4 8.4 8.4 8.4 8.4 9.5 8.4 8.4 8.4 8.4 9.5 7.8 9.5 8.4 7.8 9.5 9.5 9.5 8.4 9.5 7.8 8.4 8.4 9.5 9.5 8.9 8.4 8.4 NA 8.4 8.4 8.4 8.9 7.8 8.4 8.4
131.09453/1.4 ISOLEUCINE 131.09453 1.4 660454890.566513 582586591.550631 465501953.370992 539856681.529542 91367595.4938397 538679943.104926 660673932.619289 586354070.060594 485928516.384089 422960713.530197 497647367.748806 673342089.938933 637582302.758335 572144743.757075 680481458.255481 523372822.003984 564704770.296282 377498842.075901 626760243.301492 451096143.310513 642860960.704296 639656070.778535 668089028.273648 567864909.71479106 847993736.802951 590723354.539238 625189711.349915 571025494.718715 464335.661227848 666574942.624291 586129329.368607 598820568.649124 629121096.418931 606529570.991699 622968817.026058 627906784.595407 9.5 8.9 9.5 9.5 7.8 7.8 8.9 8.4 8.9 8.9 9.5 8.4 7.8 8.9 9.5 8.9 8.9 9.5 9.5 8.9 8.4 8.9 8.4 8.4 8.9 8.9 8.9 9.5 NA 9.5 9.5 8.9 9.5 8.9 8.9 8.9
103.09969/1.003 Choline 103.09969 1.003 404466910.690848 326281662.686886 255392510.419007 346404766.47126 265674269.204091 350746000.436972 348171966.070995 328888698.434294 217770707.935724 119808817.163301 302456031.00941 196108176.243094 527956077.97892 326391431.937393 382704962.950244 265152239.805262 241499187.326224 239236063.169535 348539539.436303 282563952.455606 637387798.299568 445196610.058158 641605679.9374 206815696.329386 559605393.725396 439019173.329087 681239503.313808 292110584.833378 683910.916375512 404496953.390998 402874410.826242 365707970.741971 408680386.525986 377899026.591481 420680041.11192 382067763.200621 8.9 8.9 8.9 9.5 9.5 9.5 9.5 8.9 9.5 8.9 9.5 7.8 8.9 9.5 8.9 10 9.5 10 9.5 10 9.5 9.5 8.9 8.4 8.4 8.4 8.9 8.4 NA 8.9 8.9 10 9.5 8.9 9.5 8.4
521.34832/13.28 13-hydroxy-6-(1-hydroxyethyl)-12,14-dimethyl-3-methylidene-15-nonyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclopentadecane-2,5,8,11-tetrone 521.34832 13.28 364615106.92841 436282119.450722 317512722.429818 373802086.311681 324519996.922158 359179995.987148 286420325.893729 366782981.517933 180390378.149319 248119022.850391 392099244.872842 366077461.970302 528845389.370765 344437328.26898 379606914.235678 270371846.140544 270518349.117978 316959360.315972 273944998.315744 430616012.503436 401246167.133671 358439796.201563 402497001.995405 522131763.501195 652556534.685821 293938887.910782 508755604.904225 266722991.497598 11324.9396408852 389265013.378902 402006022.608881 393484392.178254 383828655.566033 387731644.825458 397472539.112386 396420624.247771 8.9 8.9 8.9 9.5 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 9.5 8.9 9.5 9.5 8.9 8.9 8.9 8.9 8.9 8.9 8.9 9.5 8.9 8.9 9.5 8.9 NA 8.9 8.9 8.9 9.5 8.4 8.9 8.9
509.34843/13.745 1-heptadecanoyl-sn-glycero-3-phosphocholine 509.34843 13.745 196874047.432988 366607751.240731 319990776.994759 248094859.401108 259385564.043764 244908261.075484 187346343.725465 341116853.086458 203572985.10864 233575035.740218 236299381.164526 247259772.850098 275587199.291686 344044600.581094 210824800.981053 250137786.711112 562185739.978702 263446683.010057 147584159.275284 175118362.972655 226670147.929686 185670799.363026 278245947.299994 235988809.444967 122598924.917323 132126314.5399 308929378.854292 215205321.045641 13359.9518265784 270566472.347506 280985386.802856 279527871.693076 267301269.861417 273362782.41053 277688855.228126 276442112.931646 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 7.8 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 8.4 NA 8.4 8.4 8.4 7.8 8.4 8.4 8.4
372.17605/15.236 Heroin-d3 372.17605 15.236 100502395.889182 94029978.0759597 114964789.65763 154058392.699384 459026407.018706 168957003.824864 194685997.773425 23825133.5169943 104663741.508016 230571931.138478 109456173.401503 403977870.538341 367187541.059791 161601822.989123 178755823.222882 4049099.11472081 35729276.583361 127431704.990249 266676205.020459 112330239.405826 122790359.738509 98489160.093149 28441971.7660439 210869.236689414 13840913.5413509 238193992.267 127578060.421636 81125882.2343699 2070409.33358656 163303382.010787 166631673.14863 160661771.384153 158122438.006727 166520092.022619 164416092.310509 163060203.136279 9.5 9.5 9.5 9.5 10 9.5 9.5 9.5 9.5 9.5 9.5 9.5 9.5 9.5 9.5 8.4 9.5 9.5 9.5 9.5 9.5 9.5 9.5 NA 9.5 9.5 9.5 9.5 NA 9.5 9.5 9.5 9.5 9.5 9.5 9.5
567.3325/12.553 1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine 567.3325 12.553 392783854.850589 215260811.264151 220333908.874453 206384548.263927 209678852.073772 201686012.766652 317106697.546704 227108256.722658 139343618.773931 198740146.743974 148451531.479189 335640695.208772 253538449.902756 215813423.550839 304245707.38119 218763855.592683 198520042.844959 197233066.097274 345762435.154835 212829868.622714 298935581.100338 292031646.722047 313844255.295726 218557331.639814 110515071.057503 319414946.535456 347314658.435316 152584240.159275 15242.0785087634 259091540.479107 261457548.865444 258917018.933592 258629169.651059 257303771.49457 260698230.370977 260534053.022607 9.5 8.9 9.5 8.9 9.5 9.5 9.5 8.9 8.9 8.9 9.5 8.9 9.5 9.5 8.9 8.9 9.5 10 9.5 8.9 10 9.5 9.5 9.5 8.9 9.5 10 9.5 NA 8.9 8.9 8.9 9.5 9.5 9.5 8.9
159.12595/1.089 Acetyl-<df>-methylcholine 159.12595 1.089 81803939.9435913 385798482.581983 86134220.5236694 89710011.3013556 101186827.745912 90174553.8962787 71279616.354567 124945159.119106 134320900.635787 77015844.0912211 111634218.288233 101907785.556324 124259182.852891 337071903.340334 63726128.6719717 221269942.63786 143682644.405516 63838732.2620435 96082330.4189417 170459972.939795 112279836.562581 179727735.99159 72097446.4840765 186516104.216447 138829363.877008 61808508.0470099 163056564.436413 99006945.8180149 21573.7837042195 128389388.308104 134919673.72287 138710563.473548 137696142.544779 135402895.784178 134933891.078592 130315380.333998 8.9 9.5 8.9 9.5 9.5 9.5 9.5 8.9 9.5 8.9 9.5 8.9 8.9 8.9 8.9 9.5 9.5 9.5 9.5 10 8.9 9.5 8.9 9.5 9.5 9.5 9.5 8.9 NA 8.9 9.5 8.9 8.9 9.5 9.5 9.5
161.10523/1.007 L-CARNITINE 161.10523 1.007 78081292.8707205 208807278.750333 193206741.751695 212840075.624573 190539075.289178 151342009.264313 98198002.1685821 363028203.075105 213128695.569242 166256657.110428 216737861.342559 64919600.8369445 339024866.787323 207214899.216321 59975280.9404817 272010662.19707 198951851.338081 227378952.013612 177121331.036149 209610651.58829 77005178.6387428 160126603.263172 115911119.853311 149391157.183571 149361891.577487 105300381.644607 124855272.396629 231545613.857541 109889.368997712 162732451.068936 203291377.581598 158947502.580061 130122606.309294 184144900.238727 172059401.03689 181858609.546125 8.4 8.4 8.4 8.4 8.4 6.7 8.4 7.8 7.8 8.4 8.9 8.4 8.4 8.4 8.4 8.9 8.9 8.4 9.5 8.4 7.8 8.4 8.9 8.4 8.4 8.4 5.7 8.4 NA 8.4 7.8 8.4 8.4 8.4 8.4 8.4
